invoice_id,customer_id,amount,currency,vendor_name,po_number,invoice_date
INV-CUST-1000-0023,CUST-1000,5224.43,USD,Enterprise SaaS,PO-26830,2024-03-23
INV-CUST-1000-0024,CUST-1000,8145.46,USD,Steel Fab Inc,PO-81325,2024-06-18
INV-CUST-1000-0025,CUST-1000,1726.54,USD,Global Logistics,PO-29511,2024-05-18
INV-CUST-1000-0026,CUST-1000,5552.23,USD,Steel Fab Inc,PO-48521,2024-06-15
INV-CUST-1000-0027,CUST-1000,9196.65,USD,Compute Cloud,PO-25447,2024-06-13
INV-CUST-1000-0028,CUST-1000,2040.22,USD,Global Logistics,PO-56294,2024-03-14
INV-CUST-1000-0029,CUST-1000,3699.53,USD,Global Logistics,PO-80326,2024-01-21
INV-CUST-1000-0030,CUST-1000,9060.19,USD,Enterprise SaaS,PO-85270,2024-06-19
INV-CUST-1000-0031,CUST-1000,4882.55,USD,Office Supply Co,PO-21331,2024-06-25
INV-CUST-1000-0032,CUST-1000,8639.24,USD,Global Logistics,PO-57497,2024-05-06
INV-CUST-1000-0033,CUST-1000,2016.93,USD,Compute Cloud,PO-26338,2024-03-09
INV-CUST-1000-0034,CUST-1000,1141.51,USD,Global Logistics,PO-89184,2024-01-25
INV-CUST-1000-0035,CUST-1000,9466.05,USD,Steel Fab Inc,PO-10621,2024-05-25
INV-CUST-1000-0036,CUST-1000,7894.11,USD,Steel Fab Inc,PO-24628,2024-02-18
INV-CUST-1000-0037,CUST-1000,6073.41,USD,Steel Fab Inc,PO-83750,2024-02-28
INV-CUST-1000-0038,CUST-1000,7127.22,USD,Global Logistics,PO-81274,2024-03-30
INV-CUST-1000-0039,CUST-1000,1113.73,USD,Steel Fab Inc,PO-77537,2024-05-18
INV-CUST-1001-0000,CUST-1001,1266.76,USD,Compute Cloud,PO-75075,2024-02-17
INV-CUST-1001-0001,CUST-1001,9399.27,USD,Global Logistics,PO-89833,2024-05-14
INV-CUST-1001-0002,CUST-1001,9969.39,USD,Office Supply Co,PO-76231,2024-03-08
INV-CUST-1001-0003,CUST-1001,3097.84,USD,Steel Fab Inc,PO-92786,2024-03-31
INV-CUST-1001-0004,CUST-1001,3478.91,USD,Steel Fab Inc,PO-16437,2024-03-24
INV-CUST-1001-0005,CUST-1001,8245.46,USD,Compute Cloud,PO-51983,2024-06-07
INV-CUST-1001-0006,CUST-1001,3071.5,USD,Enterprise SaaS,PO-22684,2024-05-29
INV-CUST-1001-0007,CUST-1001,9697.65,USD,Enterprise SaaS,PO-60735,2024-01-24
INV-CUST-1001-0008,CUST-1001,8218.07,USD,Enterprise SaaS,PO-31839,2024-01-20
INV-CUST-1001-0009,CUST-1001,1343.74,USD,Global Logistics,PO-33299,2024-01-12
INV-CUST-1001-0010,CUST-1001,4999.96,USD,Enterprise SaaS,PO-48617,2024-06-14
INV-CUST-1001-0011,CUST-1001,4428.7,USD,Global Logistics,PO-63501,2024-04-17
INV-CUST-1001-0012,CUST-1001,4388.6,USD,Steel Fab Inc,PO-76379,2024-03-27
INV-CUST-1001-0013,CUST-1001,4629.47,USD,Global Logistics,PO-72032,2024-01-29
INV-CUST-1001-0014,CUST-1001,4312.99,USD,Enterprise SaaS,PO-64776,2024-02-12
INV-CUST-1001-0015,CUST-1001,2817.28,USD,Steel Fab Inc,PO-64290,2024-02-11
INV-CUST-1001-0016,CUST-1001,7031.07,USD,Enterprise SaaS,PO-70191,2024-02-12
INV-CUST-1001-0017,CUST-1001,1327.72,USD,Enterprise SaaS,PO-65767,2024-01-27
INV-CUST-1001-0018,CUST-1001,7661.9,USD,Global Logistics,PO-41133,2024-06-26
INV-CUST-1001-0019,CUST-1001,6395.17,USD,Steel Fab Inc,PO-17486,2024-04-22
INV-CUST-1001-0020,CUST-1001,729.71,USD,Global Logistics,PO-87426,2024-06-15
INV-CUST-1001-0021,CUST-1001,5058.14,USD,Office Supply Co,PO-60519,2024-02-15
INV-CUST-1001-0022,CUST-1001,5387.54,USD,Global Logistics,PO-21215,2024-02-10
INV-CUST-1001-0023,CUST-1001,3400.07,USD,Office Supply Co,PO-19631,2024-01-23
INV-CUST-1001-0024,CUST-1001,3594.95,USD,Global Logistics,PO-91258,2024-05-17
INV-CUST-1001-0025,CUST-1001,5867.54,USD,Office Supply Co,PO-54189,2024-05-10
INV-CUST-1001-0026,CUST-1001,3819.13,USD,Enterprise SaaS,PO-38593,2024-05-23
INV-CUST-1001-0027,CUST-1001,5603.9,USD,Steel Fab Inc,PO-11494,2024-05-21
INV-CUST-1001-0028,CUST-1001,9839.55,USD,Global Logistics,PO-74906,2024-04-22
INV-CUST-1001-0029,CUST-1001,8773.76,USD,Enterprise SaaS,PO-28714,2024-04-30
INV-CUST-1001-0030,CUST-1001,3622.56,USD,Steel Fab Inc,PO-26388,2024-06-10
INV-CUST-1001-0031,CUST-1001,7773.77,USD,Global Logistics,PO-28733,2024-04-11
INV-CUST-1001-0032,CUST-1001,3148.58,USD,Office Supply Co,PO-49714,2024-04-05
INV-CUST-1001-0033,CUST-1001,6392.77,USD,Enterprise SaaS,PO-29179,2024-02-15
INV-CUST-1001-0034,CUST-1001,9586.69,USD,Office Supply Co,PO-49140,2024-03-22
INV-CUST-1001-0035,CUST-1001,4665.64,USD,Enterprise SaaS,PO-38950,2024-03-04
INV-CUST-1001-0036,CUST-1001,7630.59,USD,Office Supply Co,PO-90327,2024-04-15
INV-CUST-1001-0037,CUST-1001,9733.08,USD,Global Logistics,PO-89443,2024-04-24
INV-CUST-1001-0038,CUST-1001,5748.61,USD,Office Supply Co,PO-25146,2024-01-15
INV-CUST-1001-0039,CUST-1001,6976.92,USD,Enterprise SaaS,PO-51556,2024-06-18
INV-CUST-1002-0000,CUST-1002,4887.64,USD,Steel Fab Inc,PO-49388,2024-01-05
INV-CUST-1002-0001,CUST-1002,7145.46,USD,Enterprise SaaS,PO-40520,2024-04-26
INV-CUST-1002-0002,CUST-1002,3308.08,USD,Office Supply Co,PO-15321,2024-02-01
INV-CUST-1002-0003,CUST-1002,9363.88,USD,Enterprise SaaS,PO-78689,2024-06-11
INV-CUST-1002-0004,CUST-1002,3409.56,USD,Compute Cloud,PO-39626,2024-01-01
INV-CUST-1002-0005,CUST-1002,6232.83,USD,Global Logistics,PO-10317,2024-05-30
INV-CUST-1002-0006,CUST-1002,5649.4,USD,Enterprise SaaS,PO-36152,2024-02-28
INV-CUST-1002-0007,CUST-1002,1728.78,USD,Office Supply Co,PO-95706,2024-06-14
INV-CUST-1002-0008,CUST-1002,1427.24,USD,Global Logistics,PO-77714,2024-03-21
INV-CUST-1002-0009,CUST-1002,3030.87,USD,Office Supply Co,PO-28593,2024-05-20
INV-CUST-1002-0010,CUST-1002,3318.94,USD,Steel Fab Inc,PO-61948,2024-01-27
INV-CUST-1002-0011,CUST-1002,6439.52,USD,Compute Cloud,PO-16203,2024-01-29
INV-CUST-1002-0012,CUST-1002,9535.06,USD,Enterprise SaaS,PO-98314,2024-04-13
INV-CUST-1002-0013,CUST-1002,2474.45,USD,Global Logistics,PO-73428,2024-01-16
INV-CUST-1002-0014,CUST-1002,2869.14,USD,Global Logistics,PO-63235,2024-04-13
INV-CUST-1002-0015,CUST-1002,5585.13,USD,Steel Fab Inc,PO-35384,2024-03-01
INV-CUST-1002-0016,CUST-1002,2326.69,USD,Enterprise SaaS,PO-71436,2024-05-12
INV-CUST-1002-0017,CUST-1002,8918.95,USD,Compute Cloud,PO-64444,2024-04-23
INV-CUST-1002-0018,CUST-1002,8121.29,USD,Global Logistics,PO-20312,2024-01-27
INV-CUST-1002-0019,CUST-1002,5271.65,USD,Office Supply Co,PO-97379,2024-03-30
INV-CUST-1002-0020,CUST-1002,1390.93,USD,Enterprise SaaS,PO-89040,2024-03-02
INV-CUST-1002-0021,CUST-1002,4789.97,USD,Steel Fab Inc,PO-52182,2024-06-10
INV-CUST-1002-0022,CUST-1002,3464.84,USD,Global Logistics,PO-53167,2024-05-22
INV-CUST-1002-0023,CUST-1002,771.38,USD,Steel Fab Inc,PO-41518,2024-04-28
INV-CUST-1002-0024,CUST-1002,9748.94,USD,Enterprise SaaS,PO-24062,2024-05-21
INV-CUST-1002-0025,CUST-1002,9394.11,USD,Enterprise SaaS,PO-13349,2024-05-21
INV-CUST-1002-0026,CUST-1002,526.01,USD,Compute Cloud,PO-44341,2024-02-02
INV-CUST-1002-0027,CUST-1002,9243.13,USD,Enterprise SaaS,PO-78374,2024-06-19
INV-CUST-1002-0028,CUST-1002,2877.81,USD,Steel Fab Inc,PO-34116,2024-02-17
INV-CUST-1002-0029,CUST-1002,2282.49,USD,Office Supply Co,PO-99350,2024-03-13
INV-CUST-1002-0030,CUST-1002,4594.97,USD,Steel Fab Inc,PO-60927,2024-06-03
INV-CUST-1002-0031,CUST-1002,7854.81,USD,Steel Fab Inc,PO-53356,2024-03-17
INV-CUST-1002-0032,CUST-1002,9755.96,USD,Compute Cloud,PO-49550,2024-04-24
INV-CUST-1002-0033,CUST-1002,9653.28,USD,Steel Fab Inc,PO-50165,2024-06-17
INV-CUST-1002-0034,CUST-1002,9422.75,USD,Global Logistics,PO-43797,2024-04-04
INV-CUST-1002-0035,CUST-1002,6950.88,USD,Compute Cloud,PO-83145,2024-03-29
INV-CUST-1002-0036,CUST-1002,7644.48,USD,Steel Fab Inc,PO-16967,2024-05-17
INV-CUST-1002-0037,CUST-1002,4610.26,USD,Global Logistics,PO-28354,2024-01-28
INV-CUST-1002-0038,CUST-1002,2553.36,USD,Office Supply Co,PO-94146,2024-03-08
INV-CUST-1002-0039,CUST-1002,5421.78,USD,Global Logistics,PO-95873,2024-05-23
INV-CUST-1003-0000,CUST-1003,2324.22,USD,Compute Cloud,PO-50637,2024-01-18
INV-CUST-1003-0001,CUST-1003,3749.09,USD,Global Logistics,PO-99127,2024-04-26
INV-CUST-1003-0002,CUST-1003,4678.25,USD,Enterprise SaaS,PO-59699,2024-04-30
INV-CUST-1003-0003,CUST-1003,2472.74,USD,Office Supply Co,PO-72382,2024-06-04
INV-CUST-1003-0004,CUST-1003,2645.91,USD,Office Supply Co,PO-34113,2024-02-18
INV-CUST-1003-0005,CUST-1003,6767.09,USD,Steel Fab Inc,PO-15364,2024-04-24
INV-CUST-1003-0006,CUST-1003,8901.6,USD,Global Logistics,PO-37649,2024-06-03
INV-CUST-1003-0007,CUST-1003,4320.59,USD,Enterprise SaaS,PO-99135,2024-02-09
INV-CUST-1003-0008,CUST-1003,2645.8,USD,Compute Cloud,PO-85485,2024-03-01
INV-CUST-1003-0009,CUST-1003,6467.27,USD,Global Logistics,PO-85119,2024-04-17
INV-CUST-1003-0010,CUST-1003,6226.09,USD,Office Supply Co,PO-54000,2024-01-09
INV-CUST-1003-0011,CUST-1003,6382.25,USD,Global Logistics,PO-58754,2024-02-02
INV-CUST-1003-0012,CUST-1003,4636.31,USD,Office Supply Co,PO-22417,2024-05-09
INV-CUST-1003-0013,CUST-1003,8709.71,USD,Office Supply Co,PO-94021,2024-01-23
INV-CUST-1003-0014,CUST-1003,7802.7,USD,Office Supply Co,PO-11535,2024-02-27
INV-CUST-1003-0015,CUST-1003,8453.5,USD,Enterprise SaaS,PO-74131,2024-06-04
INV-CUST-1003-0016,CUST-1003,7996.06,USD,Office Supply Co,PO-75186,2024-04-18
INV-CUST-1003-0017,CUST-1003,4342.02,USD,Global Logistics,PO-28056,2024-06-25
INV-CUST-1003-0018,CUST-1003,2470.03,USD,Enterprise SaaS,PO-11206,2024-03-25
INV-CUST-1003-0019,CUST-1003,9289.74,USD,Global Logistics,PO-10779,2024-05-13
INV-CUST-1003-0020,CUST-1003,1011.75,USD,Enterprise SaaS,PO-78901,2024-06-12
INV-CUST-1003-0021,CUST-1003,1317.79,USD,Global Logistics,PO-33910,2024-05-18
INV-CUST-1003-0022,CUST-1003,2579.56,USD,Enterprise SaaS,PO-32498,2024-02-22
INV-CUST-1003-0023,CUST-1003,8331.09,USD,Enterprise SaaS,PO-42964,2024-01-20
INV-CUST-1003-0024,CUST-1003,9253.66,USD,Compute Cloud,PO-13673,2024-05-18
INV-CUST-1003-0025,CUST-1003,4793.18,USD,Office Supply Co,PO-78626,2024-06-08
INV-CUST-1003-0026,CUST-1003,5245.92,USD,Office Supply Co,PO-20685,2024-01-25
INV-CUST-1003-0027,CUST-1003,4622.24,USD,Global Logistics,PO-95175,2024-03-30
INV-CUST-1003-0028,CUST-1003,7852.94,USD,Compute Cloud,PO-98944,2024-04-14
INV-CUST-1003-0029,CUST-1003,4932.86,USD,Enterprise SaaS,PO-14767,2024-01-09
INV-CUST-1003-0030,CUST-1003,7763.19,USD,Steel Fab Inc,PO-15551,2024-01-20
INV-CUST-1003-0031,CUST-1003,4154.62,USD,Enterprise SaaS,PO-70834,2024-04-18
INV-CUST-1003-0032,CUST-1003,5921.0,USD,Office Supply Co,PO-90569,2024-03-27
INV-CUST-1003-0033,CUST-1003,9893.5,USD,Compute Cloud,PO-97237,2024-03-13
INV-CUST-1003-0034,CUST-1003,4275.83,USD,Enterprise SaaS,PO-55003,2024-02-08
INV-CUST-1003-0035,CUST-1003,5914.13,USD,Steel Fab Inc,PO-42486,2024-05-27
INV-CUST-1003-0036,CUST-1003,8005.42,USD,Compute Cloud,PO-12275,2024-02-09
INV-CUST-1003-0037,CUST-1003,3366.93,USD,Steel Fab Inc,PO-40815,2024-04-15
INV-CUST-1003-0038,CUST-1003,5942.7,USD,Office Supply Co,PO-46842,2024-03-08
INV-CUST-1003-0039,CUST-1003,1356.46,USD,Steel Fab Inc,PO-68515,2024-02-15
INV-CUST-1004-0000,CUST-1004,912.59,USD,Global Logistics,PO-90732,2024-01-20
INV-CUST-1004-0001,CUST-1004,9429.66,USD,Steel Fab Inc,PO-77933,2024-05-09
INV-CUST-1004-0002,CUST-1004,7956.43,USD,Steel Fab Inc,PO-23551,2024-03-07
INV-CUST-1004-0003,CUST-1004,5999.9,USD,Enterprise SaaS,PO-74940,2024-03-28
INV-CUST-1004-0004,CUST-1004,3332.99,USD,Compute Cloud,PO-82338,2024-01-29
INV-CUST-1004-0005,CUST-1004,4430.58,USD,Compute Cloud,PO-16018,2024-03-14
INV-CUST-1004-0006,CUST-1004,4043.43,USD,Compute Cloud,PO-85713,2024-02-22
INV-CUST-1004-0007,CUST-1004,6515.74,USD,Enterprise SaaS,PO-95126,2024-02-08
INV-CUST-1004-0008,CUST-1004,3104.69,USD,Office Supply Co,PO-26102,2024-05-22
INV-CUST-1004-0009,CUST-1004,1636.92,USD,Steel Fab Inc,PO-38399,2024-02-22
INV-CUST-1004-0010,CUST-1004,1938.12,USD,Compute Cloud,PO-56099,2024-02-11
INV-CUST-1004-0011,CUST-1004,8387.4,USD,Enterprise SaaS,PO-13134,2024-06-23
INV-CUST-1004-0012,CUST-1004,5591.3,USD,Steel Fab Inc,PO-78331,2024-01-04
INV-CUST-1004-0013,CUST-1004,9315.95,USD,Steel Fab Inc,PO-44264,2024-03-25
INV-CUST-1004-0014,CUST-1004,6829.27,USD,Global Logistics,PO-61181,2024-06-04
INV-CUST-1004-0015,CUST-1004,7825.29,USD,Enterprise SaaS,PO-66094,2024-05-29
INV-CUST-1004-0016,CUST-1004,671.26,USD,Global Logistics,PO-90735,2024-01-22
INV-CUST-1004-0017,CUST-1004,7993.92,USD,Office Supply Co,PO-55986,2024-02-10
INV-CUST-1004-0018,CUST-1004,5892.85,USD,Enterprise SaaS,PO-99724,2024-05-01
INV-CUST-1004-0019,CUST-1004,4874.93,USD,Steel Fab Inc,PO-67600,2024-03-05
INV-CUST-1004-0020,CUST-1004,1690.47,USD,Office Supply Co,PO-10715,2024-01-25
INV-CUST-1004-0021,CUST-1004,5619.91,USD,Office Supply Co,PO-12869,2024-03-03
INV-CUST-1004-0022,CUST-1004,6301.91,USD,Compute Cloud,PO-80364,2024-06-24
INV-CUST-1004-0023,CUST-1004,5262.18,USD,Office Supply Co,PO-35134,2024-05-22
INV-CUST-1004-0024,CUST-1004,9895.24,USD,Global Logistics,PO-38798,2024-05-09
INV-CUST-1004-0025,CUST-1004,5678.41,USD,Office Supply Co,PO-60427,2024-06-26
INV-CUST-1004-0026,CUST-1004,7472.14,USD,Global Logistics,PO-25480,2024-05-03
INV-CUST-1004-0027,CUST-1004,8575.95,USD,Enterprise SaaS,PO-31442,2024-04-28
INV-CUST-1004-0028,CUST-1004,3470.8,USD,Steel Fab Inc,PO-64017,2024-03-24
INV-CUST-1004-0029,CUST-1004,1149.87,USD,Steel Fab Inc,PO-91508,2024-06-08
INV-CUST-1004-0030,CUST-1004,1379.8,USD,Global Logistics,PO-57765,2024-04-22
INV-CUST-1004-0031,CUST-1004,7115.43,USD,Global Logistics,PO-68158,2024-01-16
INV-CUST-1004-0032,CUST-1004,2871.16,USD,Office Supply Co,PO-75341,2024-03-31
INV-CUST-1004-0033,CUST-1004,2787.42,USD,Global Logistics,PO-92271,2024-02-29
INV-CUST-1004-0034,CUST-1004,4701.2,USD,Enterprise SaaS,PO-24067,2024-06-05
INV-CUST-1004-0035,CUST-1004,9020.42,USD,Global Logistics,PO-89460,2024-01-24
INV-CUST-1004-0036,CUST-1004,4010.59,USD,Office Supply Co,PO-16798,2024-04-12
INV-CUST-1004-0037,CUST-1004,8267.11,USD,Office Supply Co,PO-75866,2024-06-29
INV-CUST-1004-0038,CUST-1004,5834.69,USD,Steel Fab Inc,PO-61274,2024-02-11
INV-CUST-1004-0039,CUST-1004,8908.38,USD,Steel Fab Inc,PO-50100,2024-05-17
INV-CUST-1005-0000,CUST-1005,2083.78,USD,Office Supply Co,PO-24732,2024-04-22
INV-CUST-1005-0001,CUST-1005,2512.63,USD,Steel Fab Inc,PO-88291,2024-01-30
INV-CUST-1005-0002,CUST-1005,3848.29,USD,Enterprise SaaS,PO-31726,2024-05-31
INV-CUST-1005-0003,CUST-1005,5382.04,USD,Office Supply Co,PO-47722,2024-05-02
INV-CUST-1005-0004,CUST-1005,2228.8,USD,Global Logistics,PO-94323,2024-05-08
INV-CUST-1005-0005,CUST-1005,5890.11,USD,Enterprise SaaS,PO-99183,2024-04-11
INV-CUST-1005-0006,CUST-1005,9289.69,USD,Global Logistics,PO-99087,2024-02-18
INV-CUST-1005-0007,CUST-1005,9633.38,USD,Global Logistics,PO-54774,2024-06-03
INV-CUST-1005-0008,CUST-1005,1173.91,USD,Global Logistics,PO-57522,2024-01-22
INV-CUST-1005-0009,CUST-1005,8311.02,USD,Office Supply Co,PO-83415,2024-03-02
INV-CUST-1005-0010,CUST-1005,604.63,USD,Compute Cloud,PO-24821,2024-06-02
INV-CUST-1005-0011,CUST-1005,2664.29,USD,Enterprise SaaS,PO-32587,2024-06-19
INV-CUST-1005-0012,CUST-1005,4487.03,USD,Enterprise SaaS,PO-13736,2024-05-22
INV-CUST-1005-0013,CUST-1005,6119.47,USD,Global Logistics,PO-40968,2024-01-23
INV-CUST-1005-0014,CUST-1005,9986.88,USD,Compute Cloud,PO-35955,2024-04-18
INV-CUST-1005-0015,CUST-1005,2496.47,USD,Global Logistics,PO-22595,2024-02-09
INV-CUST-1005-0016,CUST-1005,8141.97,USD,Steel Fab Inc,PO-85785,2024-03-21
INV-CUST-1005-0017,CUST-1005,6690.8,USD,Office Supply Co,PO-62717,2024-06-18
INV-CUST-1005-0018,CUST-1005,3085.53,USD,Enterprise SaaS,PO-23480,2024-06-02
INV-CUST-1005-0019,CUST-1005,7060.45,USD,Steel Fab Inc,PO-41546,2024-02-12
INV-CUST-1005-0020,CUST-1005,5401.79,USD,Enterprise SaaS,PO-27399,2024-02-09
INV-CUST-1005-0021,CUST-1005,767.99,USD,Office Supply Co,PO-91537,2024-04-05
INV-CUST-1005-0022,CUST-1005,7885.78,USD,Global Logistics,PO-93158,2024-01-17
INV-CUST-1005-0023,CUST-1005,1308.39,USD,Compute Cloud,PO-28093,2024-06-09
INV-CUST-1005-0024,CUST-1005,9748.52,USD,Global Logistics,PO-67346,2024-03-18
INV-CUST-1005-0025,CUST-1005,1632.37,USD,Global Logistics,PO-16586,2024-06-13
INV-CUST-1005-0026,CUST-1005,4986.29,USD,Office Supply Co,PO-97936,2024-04-20
INV-CUST-1005-0027,CUST-1005,1600.02,USD,Enterprise SaaS,PO-22179,2024-01-20
INV-CUST-1005-0028,CUST-1005,4768.44,USD,Enterprise SaaS,PO-93338,2024-06-23
INV-CUST-1005-0029,CUST-1005,2894.77,USD,Compute Cloud,PO-59394,2024-05-14
INV-CUST-1005-0030,CUST-1005,2228.55,USD,Compute Cloud,PO-72571,2024-02-26
INV-CUST-1005-0031,CUST-1005,4832.22,USD,Steel Fab Inc,PO-41279,2024-02-02
INV-CUST-1005-0032,CUST-1005,3983.18,USD,Office Supply Co,PO-26519,2024-02-13
INV-CUST-1005-0033,CUST-1005,4796.26,USD,Steel Fab Inc,PO-42965,2024-02-29
INV-CUST-1005-0034,CUST-1005,3558.11,USD,Global Logistics,PO-14726,2024-04-28
INV-CUST-1005-0035,CUST-1005,2673.48,USD,Global Logistics,PO-56227,2024-06-07
INV-CUST-1005-0036,CUST-1005,3532.54,USD,Steel Fab Inc,PO-83533,2024-04-13
INV-CUST-1005-0037,CUST-1005,6381.07,USD,Compute Cloud,PO-66449,2024-03-13
INV-CUST-1005-0038,CUST-1005,4758.58,USD,Steel Fab Inc,PO-34667,2024-02-28
INV-CUST-1005-0039,CUST-1005,7235.61,USD,Global Logistics,PO-15016,2024-04-28
INV-CUST-1006-0000,CUST-1006,8403.82,USD,Compute Cloud,PO-54612,2024-01-16
INV-CUST-1006-0001,CUST-1006,3195.76,USD,Compute Cloud,PO-62119,2024-03-28
INV-CUST-1006-0002,CUST-1006,3172.95,USD,Enterprise SaaS,PO-58140,2024-03-25
INV-CUST-1006-0003,CUST-1006,8913.12,USD,Global Logistics,PO-50671,2024-03-31
INV-CUST-1006-0004,CUST-1006,4665.68,USD,Global Logistics,PO-90502,2024-01-06
INV-CUST-1006-0005,CUST-1006,6507.94,USD,Enterprise SaaS,PO-50856,2024-01-02
INV-CUST-1006-0006,CUST-1006,8297.52,USD,Global Logistics,PO-21827,2024-03-06
INV-CUST-1006-0007,CUST-1006,2214.69,USD,Global Logistics,PO-79518,2024-04-26
INV-CUST-1006-0008,CUST-1006,1325.38,USD,Global Logistics,PO-79734,2024-02-19
INV-CUST-1006-0009,CUST-1006,2094.51,USD,Global Logistics,PO-46060,2024-02-20
INV-CUST-1006-0010,CUST-1006,5786.6,USD,Steel Fab Inc,PO-40567,2024-02-16
INV-CUST-1006-0011,CUST-1006,3691.53,USD,Steel Fab Inc,PO-60664,2024-02-02
INV-CUST-1006-0012,CUST-1006,4118.57,USD,Global Logistics,PO-95553,2024-06-05
INV-CUST-1006-0013,CUST-1006,648.84,USD,Steel Fab Inc,PO-34048,2024-01-10
INV-CUST-1006-0014,CUST-1006,8068.86,USD,Steel Fab Inc,PO-59308,2024-03-03
INV-CUST-1006-0015,CUST-1006,1257.1,USD,Steel Fab Inc,PO-63354,2024-02-20
INV-CUST-1006-0016,CUST-1006,7982.92,USD,Global Logistics,PO-75692,2024-02-10
INV-CUST-1006-0017,CUST-1006,4228.09,USD,Global Logistics,PO-69135,2024-04-19
INV-CUST-1006-0018,CUST-1006,3633.27,USD,Compute Cloud,PO-14087,2024-03-21
INV-CUST-1006-0019,CUST-1006,9140.03,USD,Office Supply Co,PO-11355,2024-05-05
INV-CUST-1006-0020,CUST-1006,5513.59,USD,Steel Fab Inc,PO-27829,2024-04-05
INV-CUST-1006-0021,CUST-1006,3052.99,USD,Steel Fab Inc,PO-78937,2024-01-25
INV-CUST-1006-0022,CUST-1006,9733.71,USD,Office Supply Co,PO-37096,2024-06-27
INV-CUST-1006-0023,CUST-1006,7185.12,USD,Office Supply Co,PO-78956,2024-01-12
INV-CUST-1006-0024,CUST-1006,2993.5,USD,Global Logistics,PO-14230,2024-02-03
INV-CUST-1006-0025,CUST-1006,4887.62,USD,Global Logistics,PO-46450,2024-03-29
INV-CUST-1006-0026,CUST-1006,7023.72,USD,Steel Fab Inc,PO-28998,2024-01-05
INV-CUST-1006-0027,CUST-1006,941.73,USD,Office Supply Co,PO-20636,2024-03-28
INV-CUST-1006-0028,CUST-1006,6089.9,USD,Global Logistics,PO-88757,2024-04-19
INV-CUST-1006-0029,CUST-1006,9863.87,USD,Steel Fab Inc,PO-57421,2024-02-08
INV-CUST-1006-0030,CUST-1006,5795.55,USD,Steel Fab Inc,PO-41782,2024-01-03
INV-CUST-1006-0031,CUST-1006,1561.63,USD,Office Supply Co,PO-62576,2024-03-10
INV-CUST-1006-0032,CUST-1006,7743.98,USD,Compute Cloud,PO-44554,2024-02-12
INV-CUST-1006-0033,CUST-1006,3339.22,USD,Enterprise SaaS,PO-96510,2024-03-11
INV-CUST-1006-0034,CUST-1006,6765.23,USD,Compute Cloud,PO-41283,2024-06-23
INV-CUST-1006-0035,CUST-1006,3642.51,USD,Global Logistics,PO-24894,2024-05-24
INV-CUST-1006-0036,CUST-1006,9929.35,USD,Compute Cloud,PO-38031,2024-06-03
INV-CUST-1006-0037,CUST-1006,9647.27,USD,Global Logistics,PO-32829,2024-01-23
INV-CUST-1006-0038,CUST-1006,7982.52,USD,Global Logistics,PO-80799,2024-01-22
INV-CUST-1006-0039,CUST-1006,2031.03,USD,Enterprise SaaS,PO-91398,2024-04-03
INV-CUST-1007-0000,CUST-1007,4896.5,USD,Enterprise SaaS,PO-39960,2024-03-09
